id	filename	md5	size	state	acl	project_id	category
3edf46ac-d55a-4684-ad65-12e7ddc28785	5f259784-0621-4ca4-ad2f-04423e84bf51_wxs_gdc_realn.bai	0f309585a4042b81e638b93a3c1b57bb	7310720	released	[b'phs002790']	CCDI-MCI	index_file
006e7202-66c5-4732-80f2-43d6dc3191e7	5f259784-0621-4ca4-ad2f-04423e84bf51_wxs_gdc_realn.bam	424f13e0ef29c83ffbb17d8fd7f42cda	92795778706	released	[b'phs002790']	CCDI-MCI	data_file
2fb34316-3db6-4536-bbd0-3730132ba31f	3c407642-3323-4d5a-ae1c-f884eccd888f_wxs_gdc_realn.bai	15e3a1440472ca57c98818e7dc5d82b3	6793880	released	[b'phs002790']	CCDI-MCI	index_file
006fae13-559b-4362-bf30-dd654080a58a	3c407642-3323-4d5a-ae1c-f884eccd888f_wxs_gdc_realn.bam	297c0d2ed67123a7d7df8868b9a47f6f	45616026222	released	[b'phs002790']	CCDI-MCI	data_file
a6e5bbac-f262-47bc-944e-66d2e76c568b	a9fdd390-ad2a-4480-adf7-e477b9b417aa_wxs_gdc_realn.bai	ef651163897703a40531707868af5594	8573320	released	[b'phs002790']	CCDI-MCI	index_file
00859e66-c044-40bf-8e7b-59e417914481	a9fdd390-ad2a-4480-adf7-e477b9b417aa_wxs_gdc_realn.bam	edf628732ca21aab8ac1b928f7e0790a	167655190431	released	[b'phs002790']	CCDI-MCI	data_file
00861637-1bee-4f07-9655-18388135cfb2	c00a5a1a-3fdc-4cdd-b629-cce2640ffd20_noid_Grn.idat	e48d01128bac315e708438e7b5be1318	13677995	released	[b'open']	CCDI-MCI	data_file
af9ca247-c508-429b-bb07-cda8cc69ec04	c640e512-2ecf-4c3c-904d-760477ecd1ca_wxs_gdc_realn.bai	e61662fcd03147ee93af281de3e8b963	6791136	released	[b'phs002790']	CCDI-MCI	index_file
008d272e-be8a-4380-82bb-11fd80a52a3b	c640e512-2ecf-4c3c-904d-760477ecd1ca_wxs_gdc_realn.bam	d9f31d5a7c5051f75ae7a6a4ca3a18ac	44960710821	released	[b'phs002790']	CCDI-MCI	data_file
008d9c52-f298-466b-9ab0-1bad87b87e28	484ca3fc-e0b1-406e-910a-c2aa90a5e8b5.methylation_array.sesame.level3betas.txt	76efb16ab0aa1c83e13f903712d173e1	21559136	released	[b'open']	CCDI-MCI	data_file
009036d8-32f9-486e-ba77-fe6f99a42744	f885dd24-8fa2-4b59-aad0-3afda38d11a5.methylation_array.sesame.level3betas.txt	9bd9c1388f1269a24113a4ce5ee7631a	22560111	released	[b'open']	CCDI-MCI	data_file
0099d91c-4431-4151-80a0-2d6ca8479e48	95f87525-775f-4f08-b30c-3215c67048b8_noid_Grn.idat	025329753925ead90804054c156da2d4	13677995	released	[b'open']	CCDI-MCI	data_file
009b66bf-5bc1-4550-a33d-b6d8798d175e	cc53e49a-1bcf-4550-a5d3-0e64267fbc50_noid_Grn.idat	169427018d0bf81ecf604e45edd3c17e	14370457	released	[b'open']	CCDI-MCI	data_file
00a11f8e-d3de-4267-8f18-bc7448d19bf6	f600856b-9c83-4810-830b-e1c7892af2b5_noid_Grn.idat	1003ea7c719e0b6bf5031b36b09a301b	13678010	released	[b'open']	CCDI-MCI	data_file
00a31591-c0f3-4288-95ed-a088e0b82fae	9b77d43b-e6e1-4786-9b11-38e49645bc0b_noid_Grn.idat	b26cf784a9579ecb0e1af96594e2ddaf	13677995	released	[b'open']	CCDI-MCI	data_file
89dcdbcb-4d78-448e-82ce-a2e1f28a98fc	4ac8f37d-f5da-43a2-8398-132acee47374_wxs_gdc_realn.bai	d4876641d3907282a25458a7feeda995	8802584	released	[b'phs002790']	CCDI-MCI	index_file
00a333ea-a341-49e3-b934-f69100ff865c	4ac8f37d-f5da-43a2-8398-132acee47374_wxs_gdc_realn.bam	82cc2171220fadbac93bd8b2f2194226	239041781702	released	[b'phs002790']	CCDI-MCI	data_file
00a5a71c-2743-44a2-b34e-8b5b58d5ef66	469cc5fb-95c7-43a1-be97-6641ca88ea1a.methylation_array.sesame.level3betas.txt	bcf7de9fa0588d82f6456c93d7886223	22699517	released	[b'open']	CCDI-MCI	data_file
41354603-9ccf-42de-9c27-56bbdcba5119	6d4361f6-dbbe-4d54-b69b-cee0c545c40d_wxs_gdc_realn.bai	96c0d63991aa6efc813ddcdd47a86ca0	6849192	released	[b'phs002790']	CCDI-MCI	index_file
00a9fd36-7d79-4962-887f-b4e6f8a3a455	6d4361f6-dbbe-4d54-b69b-cee0c545c40d_wxs_gdc_realn.bam	2457b6c6a749ccc6a6eff3345f94bfc6	56511124431	released	[b'phs002790']	CCDI-MCI	data_file
